onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
8457.752373	13.2231764	4	1	2	2	1	2	1	0.7775025	2	0.4940294	1	0.3780358
8470.983888	13.198185	4	2	2	3	1	2	1	0.2719099	2	0.2602716	1	1.3355198
8484.190379	13.1982306	4	3	2	2	2	3	2	0.6189127	4	0.6024321	1	0.5022653
8497.397078	13.198271	4	4	1	3	1	4	3	1.3029148	4	0.3277364	2	0.4932262
8510.611894	13.1981701	4	5	3	3	1	1	1	0.4938958	1	0.4853889	2	1.0691109
8523.818396	13.1983329	4	6	3	2	4	1	4	0.4112369	1	0.4517643	1	0.5024772
8537.02507	13.1982162	4	7	3	2	3	1	3	0.335526	1	0.4098114	1	0.5780195
8550.231497	13.1982356	4	8	1	2	1	3	1	0.6436224	3	0.528155	1	1.1444609
8563.438056	13.1982102	4	9	1	2	1	4	4	0.3864019	2	0.7685596	1	0.4022708
8576.64459	13.1982537	4	10	2	1	4	2	2	0.3693499	2	0.9525378	2	0.6433058
8589.851159	13.1982701	4	11	3	2	2	2	2	0.4104842	2	0.4798413	1	0.6102974
8603.057858	13.1981164	4	12	1	1	2	3	2	0.4016379	1	1.0105615	1	0.6515239
8616.264304	13.198207	4	13	3	3	2	1	2	0.5698943	1	0.9614806	1	0.5098143
8629.470844	13.1982396	4	14	2	2	2	2	2	0.3781077	2	0.6291523	2	1.2368348
8642.677423	13.1982612	4	15	2	1	4	4	4	0.4270133	1	0.4773501	1	0.5021213
8655.884012	13.1982015	4	16	1	1	2	2	3	0.5943271	2	0.3774247	1	1.6935375
8669.090577	13.1982303	4	17	1	2	2	3	2	0.5271015	1	0.635495	1	0.8350887
8682.297293	13.1980921	4	18	1	1	4	4	1	0.6285498	2	0.4266553	1	1.0850807
8695.50371	13.1983394	4	19	3	1	1	2	1	0.7102405	2	0.3767556	1	0.6933579
8708.710294	13.2066021	4	20	2	3	3	4	3	0.3356017	4	0.3691234	2	1.4134987
8721.925244	13.198217	4	21	2	2	4	4	4	0.3114925	4	0.4606839	2	1.1430504
8735.131797	13.1982631	4	22	3	1	2	4	2	0.3275212	1	0.7686028	1	0.6443479
8748.338406	13.1983501	4	23	1	1	4	3	4	0.495811	1	0.668706	1	1.5020618
8761.54496	13.198276	4	24	2	1	2	4	2	0.6354724	1	0.4598865	2	1.4012527
8774.751553	13.1983208	4	25	1	2	4	4	2	0.5096427	1	0.5519651	1	1.0855387
8787.95814	13.1982669	4	26	1	3	4	3	2	0.3597692	3	0.3690927	2	1.1096095
8801.164855	13.1981668	4	27	3	1	1	4	1	0.6937441	4	0.3606118	1	1.4934297
8814.371321	13.1982658	4	28	3	3	4	4	4	0.4519402	4	0.4443371	1	0.5520119
8827.577925	13.1984423	4	29	3	2	1	2	1	0.5350124	2	0.3014492	1	1.4266377
8840.784519	13.1982347	4	30	2	3	3	2	3	0.3777171	2	0.2185801	2	0.4102421
8853.991095	13.19826	4	31	3	3	2	3	2	0.41826	3	0.4696676	1	0.6351048
8867.197688	13.1982579	4	32	2	3	3	1	1	0.5102933	1	0.318534	2	0.72621
8880.404267	13.1982953	4	33	1	3	3	3	4	0.3104716	1	0.7186735	2	1.9427871
8893.610857	13.1982655	4	34	1	3	1	1	1	0.8434047	1	0.3269384	2	0.5014791
8906.817447	13.1982448	4	35	2	1	1	4	2	0.5435629	4	0.5189064	1	0.4187348
8920.024128	13.1981878	4	36	3	1	2	4	2	0.4596772	1	0.2431386	0	0
