onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
331.1105302	13.3149263	1	1	3	1	2	4	2	1.0520124	4	0.1775172	1	0.6518732
344.4337654	13.2067731	1	2	2	2	4	2	1	0.3768427	2	0.4115391	1	0.6358718
357.6488768	13.1984263	1	3	3	1	2	3	2	0.3193438	3	0.5357329	1	0.4851275
370.8556281	13.1983895	1	4	3	1	4	4	4	0.4020567	1	0.510498	1	0.4683552
384.0706895	13.1984521	1	5	1	1	2	3	1	0.4771227	1	0.5111501	2	0.4771148
397.2775664	13.1983175	1	6	2	2	4	4	4	0.3932226	2	0.3689395	1	0.6947589
410.4841844	13.1983984	1	7	2	1	1	3	1	0.4104857	1	0.5109374	1	0.6855442
423.6909083	13.1980942	1	8	3	3	2	3	2	0.3525508	3	0.3110797	0	0
436.8973296	13.1980666	1	9	3	3	1	2	1	0.4185466	2	0.2863816	1	0.9096961
450.1037286	13.1981004	1	10	1	1	2	2	2	0.4690062	1	0.4937378	1	0.5439027
463.3102084	13.1980999	1	11	1	3	1	3	1	0.4374157	3	0.3271496	2	0.7107344
476.5167643	13.1980382	1	12	2	3	1	2	1	0.3104566	2	0.2606265	2	1.6442506
489.7230688	13.1981192	1	13	3	2	2	2	2	0.3367635	4	0.6099943	1	0.6098966
502.9295162	13.1981214	1	14	3	2	4	4	4	0.2955628	2	0.5361567	2	0.3781363
516.1359609	13.198124	1	15	3	1	4	4	4	0.2769432	4	0.4272154	1	0.6182676
529.3424121	13.1981437	1	16	3	3	3	1	3	0.302737	1	0.4114942	2	1.2465788
542.5488882	13.1981229	1	17	1	2	2	1	2	0.3684696	1	0.3856713	1	0.5187792
555.7553341	13.1981378	1	18	1	2	4	4	1	0.4523195	4	0.426935	2	0.6101691
568.9618025	13.1981363	1	19	2	2	1	3	1	0.3265683	3	0.451816	1	0.3600711
582.1682753	13.198261	1	20	2	2	1	3	2	0.3770227	1	0.4019455	1	0.3107301
595.3747664	13.1981481	1	21	1	1	4	2	4	0.37834	2	0.3432299	1	0.8105653
608.5812403	13.19819	1	22	2	1	1	4	1	0.5596747	4	0.6275455	1	0.8513803
621.7878313	13.1980051	1	23	3	2	4	1	4	0.251784	2	0.3181507	1	0.9851269
634.9941583	13.1981998	1	24	3	2	4	1	4	0.2770313	1	0.493148	1	1.5850273
648.2006879	13.198197	1	25	1	1	2	1	2	0.3265423	2	0.2937534	2	0.5021583
661.407301	13.1980494	1	26	2	1	4	3	4	0.2523215	3	0.2619911	1	0.4102119
674.6136842	13.1980915	1	27	1	2	3	2	3	0.4602531	2	0.2854548	1	1.385177
687.8201092	13.1981751	1	28	2	3	4	4	4	0.4522614	4	0.060495	2	0.4103471
701.0266236	13.1981846	1	29	2	1	2	2	2	0.3346724	2	0.3435409	1	0.4354643
714.233128	13.1981587	1	30	3	3	3	1	3	0.235258	1	0.7016066	0	0
727.4396101	13.1981627	1	31	1	3	4	4	0	0	4	0.5023296	0	0
740.6461159	13.1981394	1	32	2	3	3	1	0	0	0	0	0	0
753.852584	13.1981686	1	33	1	2	3	2	0	0	0	0	0	0
767.0590958	13.1981537	1	34	2	3	1	2	0	0	2	0.9515571	1	1.15186
780.2656914	13.1980578	1	35	1	3	3	1	1	1.1440554	1	0.5110827	1	1.6435625
793.4721154	13.1981056	1	36	1	3	2	3	0	0	3	0.2851154	2	0.5359326
