onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
888.0979373	13.2315428	1	1	1	1	1	3	2	1.0029305	4	0.9755921	2	0.7517443	1	0
901.3378018	14.1649632	1	2	3	3	3	1	3	0.4100224	0	0	1	1.4920075	0	0
915.5111	14.2316315	1	3	3	1	4	1	4	0.5518588	2	1.2169717	1	1.5510769	0	0
929.7510515	14.0732628	1	4	1	3	4	2	1	0.2186747	1	0.20046	2	1.3108191	0	0
943.8409891	13.2234084	1	5	1	2	4	2	3	1.3348791	3	1.8268222	2	2.193307	0	0
957.0727617	13.8064151	1	6	3	3	3	3	3	1.4419798	3	0.5600923	2	1.4105462	0	0
970.8875089	13.8397225	1	7	1	1	3	3	4	0.6019272	2	0.1671887	1	1.0272016	0	0
984.7355222	13.5230329	1	8	2	2	2	2	2	0.8839677	1	0.5172648	1	0.8606055	0	0
998.2668977	13.6147185	1	9	1	3	3	4	4	1.50235	0	0	2	0.9097071	0	0
1011.88993	14.4062756	1	10	2	2	4	2	4	0.5027482	2	0.9024528	1	0.5762463	0	0
1026.304598	14.0895585	1	11	1	2	4	3	1	0.4260621	0	0	2	0.469754	0	0
1040.402525	13.1981367	1	12	3	2	2	2	2	0.4435417	2	0.6100078	1	0.5279118	0	0
1053.608957	14.0480053	1	13	3	3	2	4	2	0.5921027	4	0.1688782	1	0.3518366	0	0
1067.665334	14.1229407	1	14	1	3	4	3	4	0.1692654	0	0	1	0.525463	0	0
1081.796606	13.8979995	1	15	2	2	4	2	4	0.7772507	0	0	1	0.8500567	0	0
1095.702936	13.6480517	1	16	1	2	4	2	4	0.2346949	0	0	1	0.3851737	1	0
1109.359302	14.1063405	1	17	3	1	2	2	0	0	1	0.1522735	2	0.510756	0	0
1123.473973	13.8646773	1	18	3	2	1	4	1	0.2088084	0	0	1	0.0603994	0	0
1137.346981	13.3230862	1	19	3	2	1	4	0	0	0	0	2	0.5778276	0	0
1150.678411	13.8813621	1	20	3	3	4	4	0	0	0	0	2	0.4183661	1	0
1164.568091	13.9230814	1	21	2	1	1	2	0	0	0	0	2	1.175099	0	0
1178.499528	13.8729233	1	22	3	2	1	4	1	0.9170388	4	0.302306	1	0.4252172	0	0
1192.380811	13.1981815	1	23	1	2	3	1	3	0.6434867	0	0	1	1.2265353	0	0
1205.587288	13.8313759	1	24	2	1	4	3	4	0.3603802	2	0.6032936	1	1.7417425	0	0
1219.426983	13.8980185	1	25	3	1	3	4	3	0.5858114	0	0	1	0.3601539	0	0
1233.333337	13.4897808	1	26	2	3	1	4	1	0.5680322	3	0.12681	1	0.3937924	0	0
1246.831444	13.5647572	1	27	2	3	2	3	2	0.1866988	0	0	1	1.2019175	0	0
1260.404527	14.0230455	1	28	2	3	2	3	2	0.0352875	0	0	2	0.9687766	0	0
1274.435902	14.1313219	1	29	3	1	2	4	2	0.3763133	4	0.4837879	2	0.8002657	0	0
1288.57556	13.1981477	1	30	1	3	1	1	2	0.5753382	1	0.3851499	2	1.0013788	0	0
1301.782046	14.1897036	1	31	2	2	1	1	2	0.4836036	1	0.2029059	2	0.8347802	0	0
1315.980171	14.2312095	1	32	2	1	3	2	3	0.3087789	1	0.3017542	2	0.7099789	0	0
1330.219715	14.1313309	1	33	1	1	3	2	3	0.6681282	1	0.5849302	1	1.0251095	1	0
1344.359376	13.4647918	1	34	1	1	4	3	4	1.1765957	2	1.133638	1	0.4270033	0	0
1357.832501	14.0646958	1	35	2	1	1	1	1	0.4689193	1	0.5085899	1	0.4018747	0	0
1371.905531	14.1063537	1	36	2	3	2	1	3	0.7254299	1	0.2419304	2	0.5585553	0	0
