onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
100467.0393	13.3043607	1	1	2	3	1	1	1	0.1562286	1	0.3307443	1	0.7139107	0	0
100480.3603	13.2211595	1	2	3	2	4	4	4	0.5373508	4	0.2277406	2	0.644478	0	0
100493.5982	13.2044476	1	3	2	3	4	1	4	0.5269805	1	0.2767697	2	0.6440087	0	0
100506.8109	13.2212128	1	4	2	1	1	4	1	0.2700177	3	0.2465224	2	0.5935327	0	0
100520.0487	13.2209652	1	5	3	3	3	4	3	0.4124488	4	0.4379472	1	0.6543258	0	0
100533.2864	13.2295286	1	6	3	3	4	4	4	0.3549965	4	0.3057032	1	0.6555888	0	0
100546.5325	13.2127796	1	7	3	1	1	4	1	0.2714086	1	0.3109758	1	0.5870744	0	0
100559.7535	13.2044372	1	8	1	3	1	1	3	0.4034534	1	0.384857	2	0.5956995	0	0
100572.9663	13.2127592	1	9	2	1	4	3	2	0.4454992	2	0.488588	1	0.7403349	0	0
100586.1873	13.2378871	1	10	1	1	4	2	2	0.4208293	2	0.3023129	1	0.8568317	0	0
100599.4335	13.2043868	1	11	2	2	2	3	2	0.4102741	3	0.3443916	1	0.6432522	0	0
100612.6462	13.2043196	1	12	3	3	1	4	1	0.2856928	4	0.2458652	1	1.0851584	0	0
100625.8588	13.2128452	1	13	3	2	1	3	1	0.3741967	3	0.3682899	1	0.66818	0	0
100639.08	13.2377588	1	14	1	2	1	2	3	0.4442582	2	0.2604125	1	1.1209888	0	0
100652.3261	13.2210987	1	15	2	3	1	4	1	0.3668341	4	0.3227172	1	0.6954716	0	0
100665.5555	13.2045134	1	16	2	2	1	2	1	0.5210039	2	0.3040929	2	0.6884173	0	0
100678.7682	13.2045044	1	17	3	1	4	1	4	0.2852628	3	0.25155	2	0.8125605	0	0
100691.981	13.2210483	1	18	3	3	4	2	4	0.2966444	2	0.3152488	2	0.4705436	0	0
100705.2105	13.2126551	1	19	1	2	1	3	1	0.319274	3	0.2891118	2	0.6188271	0	0
100718.4315	13.2293964	1	20	1	3	1	3	4	0.2370106	3	0.267109	2	1.095313	0	0
100731.6693	13.2128462	1	21	1	1	4	1	4	0.2370267	1	0.2894982	1	0.8024819	0	0
100744.8903	13.2045349	1	22	1	3	3	4	2	0.3944532	4	0.2267023	1	0.620338	0	0
100758.1031	13.204494	1	23	1	2	2	4	2	0.4365093	4	0.211063	1	0.6120869	0	0
100771.3158	13.2127452	1	24	1	1	2	3	2	0.2767683	4	0.2618073	1	1.0193918	0	0
100784.537	13.2044219	1	25	3	1	4	3	4	0.3869004	2	0.2879217	1	0.6371741	0	0
100797.7497	13.2128386	1	26	1	2	3	3	2	0.3617559	3	0.7205615	1	0.994661	0	0
100810.9708	13.2045479	1	27	1	1	4	4	4	0.301543	4	0.3347782	1	0.895664	0	0
100824.1835	13.2127473	1	28	2	2	1	1	2	0.4704678	1	0.2696724	1	0.8525404	0	0
100837.4047	13.2043866	1	29	2	2	4	2	4	0.4282055	2	0.3348334	1	0.7599836	0	0
100850.6173	13.2128846	1	30	2	1	2	1	2	0.3182264	1	0.3195461	2	0.5210285	0	0
100863.8384	13.2044564	1	31	3	2	3	1	3	0.4123019	1	0.4954718	1	0.8851137	0	0
100877.0511	13.2294553	1	32	3	2	3	1	3	0.5818958	1	0.3944422	1	0.8954696	0	0
100890.2891	13.204248	1	33	3	1	2	1	2	0.328682	1	0.3288736	1	0.6683488	0	0
100903.5018	13.204464	1	34	1	3	4	4	2	0.1704221	4	0.5207855	1	0.9362549348	0	0
100916.7145	13.2209456	1	35	2	1	3	3	3	0.3119812	1	1.9360638	1	0.8611594	0	0
100929.9438	13.2127203	1	36	2	3	1	1	2	0.4182485	1	0.3120665	2	0.8357342	0	0
