onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
4645.496296	13.2480201	1	1	3	2	4	3	4	0.8027027	3	0.5022106	1	0.610048
4658.75264	13.1981075	1	2	2	2	2	2	2	0.6183977	1	0.8283496	2	1.0688082
4671.959066	13.2064418	1	3	2	3	3	2	3	0.943523	2	0.7268084	2	1.9439759
4685.173999	13.1979221	1	4	2	3	4	2	4	0.6774015	2	0.5853069	2	0.6023918
4698.388584	13.1981391	1	5	1	3	2	2	1	1.4517561	2	0.4768451	2	0.8116223
4711.595061	13.2063822	1	6	3	2	3	4	3	0.5523932	4	0.6278116	1	1.0431652
4724.809782	13.1981064	1	7	2	1	4	2	4	0.8765673	1	0.9854557	1	1.3849557
4738.016215	13.1981728	1	8	3	1	2	3	2	0.6610093	1	0.461167	1	1.243239
4751.222607	13.1981289	1	9	2	1	3	4	3	0.7099518	4	0.7773171	1	1.0777527
4764.429107	13.1980366	1	10	3	1	1	2	1	0.6116084	2	0.9271637	1	0.9270167
4777.635491	13.1982056	1	11	3	1	2	1	2	0.5191317	3	0.6778022	1	0.710463
4790.841916	13.1981188	1	12	1	3	3	3	1	0.5019039	3	0.6767762	2	1.528453
4804.048324	13.1982659	1	13	1	1	2	3	1	0.777116	1	0.619644	1	0.6602773
4817.254923	13.1980972	1	14	3	2	1	1	1	0.5785639	4	0.536721	1	1.3941413
4830.461214	13.1981051	1	15	3	3	1	1	1	0.6684935	1	0.577492044	1	0.6101306
4843.66765	13.1983141	1	16	1	3	2	2	2	0.5519265	2	0.5277488	1	0.702057
4856.874073	13.1981094	1	17	2	2	1	3	1	0.5686305	3	0.7852214	1	0.4018884
4870.080537	13.1981	1	18	2	1	2	4	2	0.6695251	4	0.6600852	1	2.0678801
4883.28696	13.1981201	1	19	1	1	3	4	2	0.4682973	1	0.5525853	2	0.5683927
4896.493411	13.206416	1	20	1	1	4	4	4	0.6684709	4	0.6034216	2	1.7179827
4909.708154	13.19813	1	21	1	2	2	1	1	0.635614	1	0.4097932	2	0.7102942
4922.914753	13.1979841	1	22	3	2	4	3	4	0.3774444	3	0.5779948	1	1.510285
4936.121086	13.1980822	1	23	2	3	3	4	3	1.0609959	4	0.5015836	2	0.6766299
4949.327497	13.1982599	1	24	1	1	2	1	2	0.3929376	2	0.5940184	1	1.3932596
4962.533994	13.1980655	1	25	1	2	2	4	1	0.7442312	2	0.4855285	2	0.7598351
4975.74042	13.1980881	1	26	1	2	3	1	1	0.4019047	1	0.5682522	2	1.2352752
4988.946856	13.1981069	1	27	3	1	2	1	2	0.3940235	1	0.7853622	1	1.9015677
5002.153291	13.198108	1	28	1	2	1	4	1	0.4930335	4	0.3680654	1	0.6012904
5015.359731	13.1982105	1	29	1	3	1	1	1	0.318019	1	0.4101014	2	0.6851286
5028.566314	13.1980077	1	30	2	1	4	3	4	0.3188507	2	0.4940792	1	0.8936893
5041.772642	13.2064194	1	31	2	2	3	2	3	0.4874478	2	0.5103045	2	0.6603854
5054.987376	13.1982074	1	32	2	3	3	4	3	0.6683496	4	0.5262682	1	0.8610781
5068.193878	13.1980655	1	33	3	3	4	4	4	0.393261	4	0.2856875	1	0.4932169
5081.400475	13.1979909	1	34	3	3	1	1	1	0.4106431	1	0.3188201	2	0.6515227
5094.606744	13.1981149	1	35	2	2	2	3	2	0.5180206	3	0.9016983	1	1.1020494
5107.813189	13.198145	1	36	3	3	2	1	2	0.2602595	1	0.3680466	2	1.0268513
