onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
3792.326279	14.0479412	1	1	1	2	1	3	2	0.5754592	3	0.7431064	2	0.6857643	0	0
3806.382553	13.2064331	1	2	3	3	1	1	1	0.7837387	1	0.6596266	1	1.4772464	0	0
3819.597306	13.1980855	1	3	1	3	2	4	2	0.741947	4	0.4023401	2	1.1189016	0	0
3832.80372	13.1980845	1	4	1	2	4	1	4	0.5003102	1	0.576779	2	1.4166805	0	0
3846.018468	13.1981049	1	5	3	2	3	2	3	0.7093512	1	0.583669	1	1.383542	0	1
3859.224927	13.1980933	1	6	2	1	1	2	1	0.6184104	2	0.4752428	1	1.2355038	0	0
3872.431353	13.198113	1	7	1	2	2	2	4	0.5599586	2	0.48378	1	0.71021	0	0
3885.637815	13.2064656	1	8	3	2	4	3	4	0.4032031	3	0.4271079	1	1.4773434	0	0
3898.852604	13.1981276	1	9	3	2	3	2	3	0.3426564	2	0.3191021	1	0.8697016	0	0
3912.05913	13.1980744	1	10	1	1	4	2	4	0.3441093	3	0.4007097	1	1.1765356	0	0
3925.26554	13.1981491	1	11	3	1	2	1	2	0.4190896	1	0.5087532	2	1.2586375	0	0
3938.472012	13.1981805	1	12	1	3	2	1	2	0.4336757	1	0.4844747	1	1.6768902	0	0
3951.678499	13.1981518	1	13	3	1	1	1	1	0.6518796	1	0.492487	1	0.8691582	0	0
3964.884989	13.1981511	1	14	1	1	1	1	2	0.4774565	1	0.4668269	1	0.9263612	0	0
3978.091476	13.1982707	1	15	2	3	4	4	4	0.5096061	4	0.5517951	1	1.2084062	0	0
3991.297973	13.1981421	1	16	1	1	4	4	2	0.5948517	4	0.3836659	1	1.6000246	0	0
4004.504444	13.1982019	1	17	3	3	2	2	2	0.4251709	2	0.3852301	1	1.8583122	0	0
4017.710975	13.1981809	1	18	2	1	3	2	3	0.5270686	1	0.4763687	1	0.8594942	0	0
4030.917492	13.1981772	1	19	2	1	3	4	3	0.4919956	4	0.3187495	1	0.941766	0	0
4044.124008	13.1981625	1	20	3	1	1	4	1	0.3935379	1	0.5335058	1	0.8167709	0	0
4057.330521	13.1981813	1	21	3	3	4	3	4	0.5016647	3	0.3187135	1	0.9419166	0	0
4070.53704	13.1981837	1	22	3	3	2	2	2	0.3934728	2	0.4011525	2	1.084508	0	0
4083.743557	13.1981932	1	23	2	3	2	2	2	0.2751423	2	0.3855407	2	1.4516505	0	0
4096.95008	13.1981946	1	24	3	1	3	2	3	0.2846736	1	0.483544	1	1.5099949	0	0
4110.156606	13.198192	1	25	1	1	2	3	4	0.3586543	3	0.3363772	2	0.8684949	0	0
4123.363131	13.1981987	1	26	3	2	2	3	2	0.3767799	3	0.3502806	2	1.0667403	0	0
4136.569659	13.198204	1	27	1	3	4	4	4	0.3849307	4	0.3027233	2	1.018306	0	0
4149.776194	13.1982038	1	28	2	1	3	2	3	0.3596679	1	0.4668389	1	0.8435884	0	0
4162.982733	13.1982171	1	29	2	2	2	2	2	0.4584842	2	0.4251752	1	1.3348695	0	0
4176.189263	13.1982073	1	30	2	2	3	4	1	0.6012264	4	0.3502956	2	0.52664	0	0
4189.395913	13.198134	1	31	2	2	1	1	1	0.4517349	1	0.3418569	2	0.6517627	0	0
4202.602492	13.1980654	1	32	2	2	4	3	4	0.5104052	1	0.4501835	1	0.7264586	0	0
4215.808891	13.1982045	1	33	1	3	4	1	4	0.3418701	1	0.2850647	1	0.7845548	0	0
4229.015431	13.1982001	1	34	2	3	4	4	4	0.4268236	4	0.3266384	1	0.8262737	0	0
4242.221983	13.198201	1	35	1	2	2	1	4	0.4085096	1	0.5688067	1	0.7251569	0	0
4255.428532	13.1981839	1	36	2	3	1	2	1	0.3835216	2	0.4765192	1	0.9667668	0	0
