onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
3003.197246	13.2231897	3	1	1	3	2	4	3	1.5270039	4	0.5188116	2	0.5186024
3016.428748	13.1982137	3	2	1	2	2	1	2	0.5106186	1	0.9448296	2	1.7520713
3029.635302	13.1982435	3	3	3	1	1	4	1	0.9279438	4	1.2852638	1	1.1437879
3042.842016	13.1980361	3	4	1	3	2	2	2	2.0515606	2	1.1523428	2	1.443016
3056.048381	13.1982641	3	5	1	1	4	3	4	0.7764921	3	1.2935865	2	0.5187448
3069.254904	13.1982212	3	6	1	3	2	1	1	2.0850357	1	1.926428	0	0
3082.461456	13.1982172	3	7	2	3	4	3	4	0.8539489	3	0.6851593	2	0.5110448
3095.668007	13.1981547	3	8	2	1	3	4	3	0.8935065	4	0.9518557	1	0.5937725
3108.874523	13.1982071	3	9	3	2	1	2	1	0.5108193	2	0.6523297	1	1.6024193
3122.081201	13.1980747	3	10	3	1	2	1	2	0.7187582	1	1.6936048	1	0.6601834
3135.287587	13.1982196	3	11	2	1	4	2	4	0.9599051	3	1.3600521	1	1.1863056
3148.494137	13.1982278	3	12	2	1	3	2	3	0.8770742	1	0.4686347	1	1.394094
3161.700699	13.1983243	3	13	3	3	2	4	2	1.8517544	4	0.5017374	2	0.5683565
3174.907226	13.1982097	3	14	1	2	3	1	3	0.768328	1	0.4692346	2	1.6191483
3188.113761	13.1982392	3	15	2	3	2	1	2	0.4440542	1	0.5110201	2	1.076438
3201.32033	13.1982158	3	16	3	2	2	3	1	0.6107377	3	0.7020466	2	0.8016237
3214.526875	13.1982782	3	17	2	2	1	1	3	1.4117801	1	0.4442675	1	0.7518243
3227.733444	13.1982085	3	18	2	2	4	2	4	0.4942158	1	0.6943429	2	1.1517628
3240.939978	13.1982385	3	19	2	3	4	4	4	0.4445493	4	0.4038087	2	0.6601364
3254.14667	13.1980915	3	20	2	2	3	2	3	2.3694708	1	0.7185294	1	0.460329
3267.353075	13.1982557	3	21	1	1	1	1	1	2.2529498	3	0.6119469	2	0.9512522
3280.559649	13.1981853	3	22	2	1	2	1	1	0.9602369	3	1.0685798	2	0.8604514
3293.766167	13.1982263	3	23	3	2	1	1	1	0.7935015	1	0.8188315	1	0.8435751
3306.972725	13.1982267	3	24	1	1	3	1	3	0.6096982	3	1.1437978	1	0.7767143
3320.179283	13.1982294	3	25	2	3	4	2	4	2.0353849	2	0.3683568	2	0.5269365
3333.385852	13.1983449	3	26	3	3	1	4	1	0.5519927	4	0.7182409	1	1.384651
3346.592476	13.1981984	3	27	3	3	1	3	1	0.3682019	3	0.385584	2	0.6771668
3359.798999	13.1982359	3	28	2	2	2	4	2	0.4023674	4	0.5605463	2	0.526336
3373.005568	13.1982449	3	29	1	3	2	3	1	0.9771114	3	0.3437602	2	0.6933239
3386.212144	13.198217	3	30	1	1	4	1	4	0.8352743	1	0.6020098	2	0.5688263
3399.418693	13.1982147	3	31	1	2	4	4	4	0.576742	3	0.7929915	2	0.6688303
3412.625241	13.1982421	3	32	1	2	1	3	1	0.4939133	3	0.5851856	2	0.6599626
3425.831833	13.1982128	3	33	3	1	1	3	1	0.402132	3	0.4264076	1	0.4181757
3439.038369	13.1982659	3	34	3	3	4	2	4	0.4431445	2	0.2856738	1	1.6016881
3452.24495	13.1982344	3	35	3	2	4	1	4	0.3852486	1	0.451613	2	0.3853699
3465.451516	13.1982897	3	36	3	1	4	4	4	0.251486	2	0.3620698	1	0.0018957
