onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
5289.910317	13.23975	1	1	3	1	4	2	4	1.260244	2	1.0434476	2	1.5442375
5303.158412	13.3313754	1	2	3	3	3	2	3	1.3850039	2	0.5779127	2	0.8689743
5316.498105	13.323065	1	3	2	2	2	1	2	0.7436858	1	0.460167	1	0.8938
5329.829503	13.2146768	1	4	1	3	3	3	1	1.7680337	3	0.5850597	2	0.9766852
5343.06086	13.1980588	1	5	1	3	4	3	4	0.6437537	3	0.6436989	1	1.1437817
5356.267244	13.3314365	1	6	1	2	1	3	1	0.6349389	3	0.443873	1	0.9100464
5369.60701	13.3147029	1	7	2	1	4	2	4	0.5689474	2	0.5187132	1	0.627203
5382.930023	13.306387	1	8	3	1	1	3	1	0.5101681	3	0.6272595	2	0.8682537
5396.244732	13.1981007	1	9	3	2	3	1	3	0.5688751	1	0.5108038	2	0.8442506
5409.451261	13.1979573	1	10	2	2	3	2	3	0.4852699	2	0.5684033	2	0.9196126
5422.657549	13.3064134	1	11	3	3	2	2	2	0.6952326	2	0.5954389	2	0.5936899
5435.972299	13.2980592	1	12	1	1	4	4	4	2.1184982	3	1.7693611	2	1.0853892
5449.278692	13.1980903	1	13	3	2	2	3	2	0.6186141	3	0.5524982	1	1.0947599
5462.485099	13.1981245	1	14	1	1	4	3	2	1.3517044	3	0.7018397	2	1.5521214
5475.691555	13.2647968	1	15	1	2	3	2	4	0.9708606	2	0.551919	2	1.4104226
5488.964679	13.2064583	1	16	3	1	2	4	2	0.7947748	4	0.9682664	1	1.3846728
5502.179447	13.3314688	1	17	2	3	4	2	4	0.744458	2	0.5189355	2	1.1016637
5515.519225	13.3147969	1	18	2	2	2	4	2	0.6183096	4	0.602233	1	0.9929923
5528.842441	13.3563243	1	19	3	1	4	3	4	0.8438695	3	0.5681465	1	0.9847626
5542.207105	13.1981074	1	20	2	3	4	3	4	0.5021783	3	0.7686221	1	0.9931851
5555.413534	13.1981367	1	21	1	1	1	2	2	0.5268542	1	0.4184204	1	0.5438791
5568.62	13.4314723	1	22	2	1	2	2	2	0.5347994	1	0.5933353	0	0
5582.059838	13.3397458	1	23	3	3	1	3	1	0.4939855	3	0.4762865	1	1.0270758
5595.407919	13.1981163	1	24	1	1	1	4	1	0.5275914	3	0.8015441	1	0.802582
5608.614361	13.223193	1	25	2	3	4	3	4	0.6519761	3	0.5935059	1	1.2098708
5621.845855	13.3815896	1	26	3	3	3	4	3	0.5936314219	4	0.5604617	1	0.8770229
5635.235783	13.3313415	1	27	1	3	4	3	4	0.7021935	3	0.8268408	1	0.9934285
5648.575454	13.1981569	1	28	1	2	2	4	0	0	4	0.4687268	2	1.2855833
5661.781898	13.1981994	1	29	1	2	4	1	4	0.4026013	0	0	1	1.0436075
5674.988395	13.1982296	1	30	2	2	3	2	0	0	0	0	2	1.2019254
5688.194862	13.2315284	1	31	2	1	2	3	2	0.4596302	1	0.3617479	1	0.4013321
5701.434651	13.1981467	1	32	2	1	3	3	4	1.3262873	1	0.3849664	1	0.5601201
5714.641156	13.3398121	1	33	3	2	1	4	1	0.5357797	1	0.4602636	1	0.8937011
5727.9893	13.3648132	1	34	3	2	3	4	0	0	4	0.8113374	1	1.2439688
5741.362421	13.1982025	1	35	2	3	4	3	4	0.3934474	3	0.418577	2	0.842995
5754.568909	13.20675751	1	36	1	3	3	4	2	0.6770076	4	0.518508	1	0.9601978
